timestamp,open,high,low,close,volume,log_day_return,daily_volatility,rolling_volatility
2025-08-14,123306.44,124474.0,117180.0,118295.09,27980.947586,-0.04149029256629387,0.04149029256629387,0.566190600122957
2025-08-15,118295.09,119216.82,116803.99,117342.05,13623.33874,-0.008089091530436165,0.008089091530436165,0.5362074868464001
2025-08-16,117342.04,117898.99,117143.98,117380.66,6393.68117,0.00032898393468814104,0.00032898393468814104,0.35111957609064703
2025-08-17,117380.66,118575.0,117172.21,117405.01,5898.64192,0.00020742322210116917,0.00020742322210116917,0.07660195167528394
2025-08-18,117405.01,117543.75,114640.14,116227.05,17745.93954,-0.010083975477294543,0.010083975477294543,0.0948841941121881
2025-08-19,116227.05,116725.69,112732.58,112872.94,18065.47424,-0.02928284432910472,0.02928284432910472,0.23760425915809416
2025-08-20,112872.95,114615.38,112380.0,114271.24,15636.34194,0.012312159298069381,0.012312159298069381,0.3304750600000184
2025-08-21,114271.23,114821.76,112015.67,112500.0,10839.69235,-0.01562169894735077,0.01562169894735077,0.3365665009580921
2025-08-22,112500.0,117429.05,111684.79,116935.99,23128.09037,0.03867346942564925,0.03867346942564925,0.43101478571429996
2025-08-23,116936.0,117030.0,114560.0,115438.05,11329.36197,-0.012892668639070098,0.012892668639070098,0.48560080253166443
2025-08-24,115438.06,115666.68,110680.0,113493.59,21175.98462,-0.016987662875338143,0.016987662875338143,0.4924508943161512
2025-08-25,113493.59,113667.28,109274.1,110111.98,25182.79379,-0.03024851157390859,0.03024851157390859,0.14401896937268213
2025-08-26,110111.98,112371.0,108666.66,111763.22,18452.43877,0.014884678291290745,0.014884678291290745,0.3682464457620369
2025-08-27,111763.22,112625.0,110345.42,111262.01,13392.60875,-0.004494655997296272,0.004494655997296272,0.3594226329565148
2025-08-28,111262.01,113485.9,110862.42,112566.9,11104.27744,0.011659841291183425,0.011659841291183425,0.16483594892850792
2025-08-29,112566.9,112638.64,107463.9,108377.4,22580.31045,-0.037928131382763526,0.037928131382763526,0.4014782035205181
2025-08-30,108377.4,108926.15,107350.1,108816.33,10708.39159,0.004041834886721533,0.004041834886721533,0.42390579521208993
2025-08-31,108816.33,109480.02,108076.93,108246.35,9489.51596,-0.005251767001620112,0.005251767001620112,0.3499356277136957
2025-09-01,108246.36,109912.4,107255.0,109237.42,16053.60219,0.009114030534832748,0.009114030534832748,0.11565432301311755
2025-09-02,109237.43,111771.52,108393.39,111240.01,18510.28756,0.018166440657325495,0.018166440657325495,0.187464284996769
2025-09-03,111240.01,112575.27,110528.71,111705.71,11773.72084,0.004177704576073605,0.004177704576073605,0.11262292646796908
2025-09-04,111705.72,112180.0,109329.12,110730.87,12203.13536,-0.008765161209067217,0.008765161209067217,0.21381668555298705
2025-09-05,110730.87,113384.62,110206.96,110659.99,21587.40888,-0.0006403155254173387,0.0006403155254173387,0.10384246150864232
2025-09-06,110660.0,111307.7,109977.0,110187.97,5000.29897,-0.00427462149747006,0.00427462149747006,0.06460822127011558
2025-09-07,110187.98,110470.95,110180.0,110470.95,318.51144,0.0025648648614133764,0.0025648648614133764,0.05432234590191161
