unixtime,open,high,low,close,volume,label
1731931200000,90338.7,92700.0,89422.1,92407.8,95658.795,0.0
1731945600000,92407.8,92675.9,89706.2,90657.8,78011.62,0.0
1731960000000,90657.7,92084.7,90280.0,90507.4,54118.375,0.0
1731974400000,90507.4,91634.2,90405.6,91499.9,24546.623,0.0
1731988800000,91500.0,92123.7,91292.5,91696.0,23000.398,0.0
1732003200000,91696.1,92029.2,91250.0,91717.6,24939.284,0.0
1732017600000,91717.6,92885.0,91015.6,92453.3,96334.675,0.0
1732032000000,92455.5,93985.9,92105.9,93271.4,79233.61,1.0
1732046400000,93271.6,93633.1,91334.4,92335.9,55477.441,1.0
1732060800000,92335.9,92459.2,91500.0,92072.1,26421.429,1.0
1732075200000,92072.0,92866.6,91882.4,92856.6,21131.099,1.0
1732089600000,92856.6,93712.5,92730.2,93485.1,40106.881,1.0
1732104000000,93485.2,94849.0,93328.6,94737.6,96267.382,0.0
1732118400000,94737.6,94840.0,93093.3,93999.9,78303.055,1.0
1732132800000,93999.9,94626.8,93750.3,94288.0,27814.381,1.0
1732147200000,94288.0,95991.4,94008.7,95790.2,61140.448,0.0
1732161600000,95790.1,97899.9,95790.1,96950.0,83899.747,0.0
1732176000000,96950.0,98438.9,96757.6,98014.0,54909.632,0.0
1732190400000,98014.0,98289.3,95625.0,96684.0,103958.368,0.0
1732204800000,96684.1,99100.0,96311.0,97891.5,76195.107,0.0
1732219200000,97891.5,98767.0,97531.7,98366.8,38279.834,0.0
1732233600000,98366.8,99414.0,97860.1,98888.9,38616.603,0.0
1732248000000,98888.9,99537.6,98550.0,99252.6,32825.662,0.0
1732262400000,99252.6,99340.0,98300.0,98929.9,33443.457,0.0
1732276800000,98930.0,99019.2,97199.9,98696.5,77364.746,0.0
1732291200000,98696.6,99660.0,98264.2,99112.6,54528.558,0.0
1732305600000,99112.6,99500.0,98508.1,98921.4,28995.041,0.0
1732320000000,98921.5,98937.3,98309.9,98702.6,17253.83,0.0
1732334400000,98702.6,98842.8,98314.4,98600.6,14055.072,0.0
1732348800000,98600.5,98666.0,98355.0,98470.8,11785.19,0.0
1732363200000,98470.8,98916.8,98412.8,98426.0,19215.669,0.0
1732377600000,98426.1,98504.4,97368.0,97562.4,40309.275,0.0
1732392000000,97562.5,98088.4,97173.5,97725.5,17739.386,0.0
1732406400000,97725.6,98666.0,97670.9,98260.8,17187.628,0.0
1732420800000,98260.9,98490.8,97947.4,98490.1,12556.249,-1.0
1732435200000,98490.1,98578.9,97286.0,97337.6,20554.068,0.0
1732449600000,97337.6,97680.0,95976.0,95986.4,60350.265,0.0
1732464000000,95986.3,96846.4,95822.1,96396.8,32601.995,0.0
1732478400000,96396.8,98429.7,96265.1,97960.4,29868.635,-1.0
1732492800000,97960.5,98106.9,96929.9,97935.9,22932.841,-1.0
1732507200000,97935.8,98421.6,97600.0,98112.9,20355.41,-1.0
1732521600000,98113.0,98999.0,97911.1,98268.0,32738.055,-1.0
1732536000000,98268.1,98390.0,94665.4,96040.4,112741.637,0.0
1732550400000,96040.4,96562.7,94467.4,94723.6,64872.212,0.0
1732564800000,94723.7,95366.8,92666.0,93064.0,75734.866,0.0
1732579200000,93064.0,94981.8,92800.1,94537.8,39545.582,0.0
1732593600000,94537.7,95064.0,93533.9,93842.1,24648.316,0.0
1732608000000,93842.1,93846.1,91553.0,92420.0,90231.256,0.0
1732622400000,92420.0,93639.5,91809.9,92877.4,73826.177,0.0
1732636800000,92877.4,94745.2,91650.6,91760.0,67285.049,1.0
1732651200000,91760.0,92443.2,90866.4,92021.4,49392.853,1.0
1732665600000,92021.5,93133.0,91864.0,92645.3,30203.735,0.0
1732680000000,92645.2,93721.8,92413.2,93651.3,23144.634,0.0
1732694400000,93651.3,93939.0,93167.2,93423.8,21517.494,0.0
1732708800000,93423.8,95908.0,92903.4,95610.5,67850.746,0.0
1732723200000,95610.4,96687.4,95238.7,96670.0,54604.299,0.0
1732737600000,96670.1,97250.0,95776.6,95905.2,39685.079,0.0
1732752000000,95905.2,96627.6,94878.2,95523.1,30725.546,0.0
1732766400000,95523.1,95985.1,95135.8,95371.6,21039.487,0.0
1732780800000,95371.5,95862.0,94700.1,95509.9,28019.076,0.0
1732795200000,95509.9,96284.0,94950.0,95067.3,35794.858,0.0
1732809600000,95067.3,95521.5,94863.8,95196.3,18747.366,0.0
1732824000000,95196.4,96082.7,94768.0,95694.4,19680.693,0.0
1732838400000,95694.4,96932.9,95404.5,96646.4,24959.608,0.0
1732852800000,96646.5,96684.4,95669.4,95690.2,19223.755,0.0
1732867200000,95690.2,97437.1,95690.1,97302.2,30200.689,0.0
1732881600000,97302.2,98713.3,96822.0,98076.2,60395.647,0.0
1732896000000,98076.3,98514.9,96903.2,97380.0,41569.331,0.0
1732910400000,97380.0,97687.4,97036.9,97516.3,14171.919,0.0
1732924800000,97516.2,97522.1,96400.0,96708.1,23965.592,0.0
1732939200000,96708.1,97300.0,96599.8,96843.3,19485.822,0.0
1732953600000,96843.3,97047.2,96150.0,96321.3,16897.44,0.0
1732968000000,96321.3,96800.0,96300.0,96707.4,11979.631,0.0
1732982400000,96707.4,97128.4,96581.9,97072.5,10495.275,0.0
1732996800000,97072.6,97109.1,96380.0,96475.1,10250.458,0.0
1733011200000,96475.2,96746.3,95736.5,96404.0,26132.18,0.0
1733025600000,96404.0,96585.0,96249.1,96525.4,9153.515,0.0
