[22:06:55] [DEBUG] Using proactor: IocpProactor
[22:07:42] [INFO] {'e': 'trade', 'E': 1758373662758, 's': 'BTCUSDT', 't': 5245488029, 'p': '115868.90000000', 'q': '0.00006000', 'T': 1758373662757, 'm': True, 'M': True}
[22:07:44] [INFO] {'e': 'trade', 'E': 1758373664261, 's': 'BTCUSDT', 't': 5245488032, 'p': '115868.91000000', 'q': '0.01599000', 'T': 1758373664261, 'm': False, 'M': True}
[22:07:45] [INFO] {'e': 'trade', 'E': 1758373665444, 's': 'BTCUSDT', 't': 5245488038, 'p': '115868.90000000', 'q': '0.00070000', 'T': 1758373665443, 'm': True, 'M': True}
[22:07:46] [INFO] {'e': 'trade', 'E': 1758373665980, 's': 'BTCUSDT', 't': 5245488039, 'p': '115868.90000000', 'q': '0.00542000', 'T': 1758373665980, 'm': True, 'M': True}
[22:07:46] [INFO] {'e': 'trade', 'E': 1758373666639, 's': 'BTCUSDT', 't': 5245488043, 'p': '115868.90000000', 'q': '0.00259000', 'T': 1758373666639, 'm': True, 'M': True}
[22:07:46] [INFO] {'e': 'trade', 'E': 1758373666886, 's': 'BTCUSDT', 't': 5245488044, 'p': '115868.90000000', 'q': '0.00011000', 'T': 1758373666885, 'm': True, 'M': True}
[22:07:47] [INFO] {'e': 'trade', 'E': 1758373667595, 's': 'BTCUSDT', 't': 5245488049, 'p': '115868.91000000', 'q': '0.00026000', 'T': 1758373667595, 'm': False, 'M': True}
[22:07:47] [INFO] {'e': 'trade', 'E': 1758373667615, 's': 'BTCUSDT', 't': 5245488050, 'p': '115868.90000000', 'q': '0.00084000', 'T': 1758373667615, 'm': True, 'M': True}
[22:07:47] [INFO] {'e': 'trade', 'E': 1758373667620, 's': 'BTCUSDT', 't': 5245488051, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373667620, 'm': False, 'M': True}
[22:07:48] [INFO] {'e': 'trade', 'E': 1758373668182, 's': 'BTCUSDT', 't': 5245488053, 'p': '115868.90000000', 'q': '0.00010000', 'T': 1758373668181, 'm': True, 'M': True}
[22:07:49] [INFO] {'e': 'trade', 'E': 1758373669042, 's': 'BTCUSDT', 't': 5245488057, 'p': '115868.90000000', 'q': '0.00029000', 'T': 1758373669042, 'm': True, 'M': True}
[22:07:51] [INFO] {'e': 'trade', 'E': 1758373671682, 's': 'BTCUSDT', 't': 5245488063, 'p': '115868.91000000', 'q': '0.00691000', 'T': 1758373671682, 'm': False, 'M': True}
[22:07:52] [INFO] {'e': 'trade', 'E': 1758373671983, 's': 'BTCUSDT', 't': 5245488064, 'p': '115868.90000000', 'q': '0.00549000', 'T': 1758373671983, 'm': True, 'M': True}
[22:07:52] [INFO] {'e': 'trade', 'E': 1758373672609, 's': 'BTCUSDT', 't': 5245488066, 'p': '115868.90000000', 'q': '0.00006000', 'T': 1758373672608, 'm': True, 'M': True}
[22:07:55] [INFO] {'e': 'trade', 'E': 1758373675435, 's': 'BTCUSDT', 't': 5245488071, 'p': '115868.90000000', 'q': '0.00509000', 'T': 1758373675434, 'm': True, 'M': True}
[22:07:56] [INFO] {'e': 'trade', 'E': 1758373676593, 's': 'BTCUSDT', 't': 5245488075, 'p': '115868.90000000', 'q': '0.00025000', 'T': 1758373676593, 'm': True, 'M': True}
[22:07:58] [INFO] {'e': 'trade', 'E': 1758373677986, 's': 'BTCUSDT', 't': 5245488078, 'p': '115868.90000000', 'q': '0.00530000', 'T': 1758373677986, 'm': True, 'M': True}
[22:07:58] [INFO] {'e': 'trade', 'E': 1758373678501, 's': 'BTCUSDT', 't': 5245488079, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373678501, 'm': False, 'M': True}
[22:07:58] [INFO] {'e': 'trade', 'E': 1758373678871, 's': 'BTCUSDT', 't': 5245488082, 'p': '115868.91000000', 'q': '0.00200000', 'T': 1758373678871, 'm': False, 'M': True}
[22:08:01] [INFO] {'e': 'trade', 'E': 1758373681989, 's': 'BTCUSDT', 't': 5245488088, 'p': '115868.90000000', 'q': '0.00562000', 'T': 1758373681989, 'm': True, 'M': True}
[22:08:02] [INFO] {'e': 'trade', 'E': 1758373682803, 's': 'BTCUSDT', 't': 5245488090, 'p': '115868.91000000', 'q': '0.00016000', 'T': 1758373682803, 'm': False, 'M': True}
[22:08:03] [INFO] {'e': 'trade', 'E': 1758373683697, 's': 'BTCUSDT', 't': 5245488091, 'p': '115868.91000000', 'q': '0.00044000', 'T': 1758373683697, 'm': False, 'M': True}
[22:08:03] [INFO] {'e': 'trade', 'E': 1758373683812, 's': 'BTCUSDT', 't': 5245488092, 'p': '115868.90000000', 'q': '0.01040000', 'T': 1758373683811, 'm': True, 'M': True}
