,info,symbol,timestamp,datetime,timeframe,longShortRatio
49,"{'symbol': 'BTCUSDT', 'longAccount': '0.6589', 'longShortRatio': '1.9317', 'shortAccount': '0.3411', 'timestamp': '1757213700000'}",BTC/USDT:USDT,1757213700000,2025-09-07T02:55:00.000Z,,1.9317
50,"{'symbol': 'BTCUSDT', 'longAccount': '0.6592', 'longShortRatio': '1.9343', 'shortAccount': '0.3408', 'timestamp': '1757214000000'}",BTC/USDT:USDT,1757214000000,2025-09-07T03:00:00.000Z,,1.9343
51,"{'symbol': 'BTCUSDT', 'longAccount': '0.6589', 'longShortRatio': '1.9317', 'shortAccount': '0.3411', 'timestamp': '1757214300000'}",BTC/USDT:USDT,1757214300000,2025-09-07T03:05:00.000Z,,1.9317
52,"{'symbol': 'BTCUSDT', 'longAccount': '0.6585', 'longShortRatio': '1.9283', 'shortAccount': '0.3415', 'timestamp': '1757214600000'}",BTC/USDT:USDT,1757214600000,2025-09-07T03:10:00.000Z,,1.9283
53,"{'symbol': 'BTCUSDT', 'longAccount': '0.6583', 'longShortRatio': '1.9265', 'shortAccount': '0.3417', 'timestamp': '1757214900000'}",BTC/USDT:USDT,1757214900000,2025-09-07T03:15:00.000Z,,1.9265
54,"{'symbol': 'BTCUSDT', 'longAccount': '0.6583', 'longShortRatio': '1.9265', 'shortAccount': '0.3417', 'timestamp': '1757215200000'}",BTC/USDT:USDT,1757215200000,2025-09-07T03:20:00.000Z,,1.9265
55,"{'symbol': 'BTCUSDT', 'longAccount': '0.6586', 'longShortRatio': '1.9291', 'shortAccount': '0.3414', 'timestamp': '1757215500000'}",BTC/USDT:USDT,1757215500000,2025-09-07T03:25:00.000Z,,1.9291
56,"{'symbol': 'BTCUSDT', 'longAccount': '0.6582', 'longShortRatio': '1.9257', 'shortAccount': '0.3418', 'timestamp': '1757215800000'}",BTC/USDT:USDT,1757215800000,2025-09-07T03:30:00.000Z,,1.9257
57,"{'symbol': 'BTCUSDT', 'longAccount': '0.6580', 'longShortRatio': '1.9240', 'shortAccount': '0.3420', 'timestamp': '1757216100000'}",BTC/USDT:USDT,1757216100000,2025-09-07T03:35:00.000Z,,1.924
58,"{'symbol': 'BTCUSDT', 'longAccount': '0.6576', 'longShortRatio': '1.9206', 'shortAccount': '0.3424', 'timestamp': '1757216400000'}",BTC/USDT:USDT,1757216400000,2025-09-07T03:40:00.000Z,,1.9206
59,"{'symbol': 'BTCUSDT', 'longAccount': '0.6575', 'longShortRatio': '1.9197', 'shortAccount': '0.3425', 'timestamp': '1757216700000'}",BTC/USDT:USDT,1757216700000,2025-09-07T03:45:00.000Z,,1.9197
60,"{'symbol': 'BTCUSDT', 'longAccount': '0.6570', 'longShortRatio': '1.9155', 'shortAccount': '0.3430', 'timestamp': '1757217000000'}",BTC/USDT:USDT,1757217000000,2025-09-07T03:50:00.000Z,,1.9155
61,"{'symbol': 'BTCUSDT', 'longAccount': '0.6567', 'longShortRatio': '1.9129', 'shortAccount': '0.3433', 'timestamp': '1757217300000'}",BTC/USDT:USDT,1757217300000,2025-09-07T03:55:00.000Z,,1.9129
62,"{'symbol': 'BTCUSDT', 'longAccount': '0.6567', 'longShortRatio': '1.9129', 'shortAccount': '0.3433', 'timestamp': '1757217600000'}",BTC/USDT:USDT,1757217600000,2025-09-07T04:00:00.000Z,,1.9129
63,"{'symbol': 'BTCUSDT', 'longAccount': '0.6564', 'longShortRatio': '1.9104', 'shortAccount': '0.3436', 'timestamp': '1757217900000'}",BTC/USDT:USDT,1757217900000,2025-09-07T04:05:00.000Z,,1.9104
64,"{'symbol': 'BTCUSDT', 'longAccount': '0.6563', 'longShortRatio': '1.9095', 'shortAccount': '0.3437', 'timestamp': '1757218200000'}",BTC/USDT:USDT,1757218200000,2025-09-07T04:10:00.000Z,,1.9095
65,"{'symbol': 'BTCUSDT', 'longAccount': '0.6556', 'longShortRatio': '1.9036', 'shortAccount': '0.3444', 'timestamp': '1757218500000'}",BTC/USDT:USDT,1757218500000,2025-09-07T04:15:00.000Z,,1.9036
